R&D,Spend,Administration,Marketing Spend,State,Profit
0,165349.2,136897.8,471784.1,Newyork,192261.83
1,162597.7,151377.59,443898.53,California,191792.06
2,153441.51,101145.55,407934.54,Florida,191050.39
3,144372.41,118671.85,383199.62,Newyork,182901.99
4,142107.34,91391.77,366168.42,Florida,166187.94
5,131876.9,99814.71,362861.36,newyork,156991.12
6,134615.46,147198.87,127716.82,California,156122.51
7,130298.13,145530.06,323876.68,Florida,155752.6
8,120542.52,148718.95,311613.29,Newyork,152211.77
9,123334.88,108679.17,304981.62,California,149759.96
